Filename;Index;DataIndex;Time (s);Current applied (A);WE(1).Current (A);WE(1).Potential (V);Discharge capacity (Ah);Σ Capacity (Ah);Normalized WE.Current;Normalized Discharge capacity;Normalized Σ Capacity;Cycle
;97;99;5,28371262;-6,19999918853864E-05;-6,17858895566314E-05;0,702752590179443;3,75532130823962E-10;6,45083532112444E-08;-0,49827330287606;3,02848492599969E-06;0,00052022865492939;0
;98;100;5,28471262;-6,19999918853864E-05;-6,18565827608109E-05;0,696047782897949;3,9271450683979E-10;6,44911738668775E-08;-0,498843409361378;3,16705247451444E-06;0,000520090111829658;0
;99;101;5,28571262;-6,19999918853864E-05;-6,18402409600094E-05;0,689672470092773;4,09892335382109E-10;6,44739985647094E-08;-0,498711620645237;3,30558334985572E-06;0,000519951601328302;0
;100;102;5,28671262;-6,19999918853864E-05;-6,18274934822693E-05;0,683530807495117;4,27066627000588E-10;6,44568273047399E-08;-0,498608818405398;3,44408570161764E-06;0,000519813123425322;0
;101;103;5,28771262;-6,19999918853864E-05;-6,1836835811846E-05;0,677510738372803;4,44243508152593E-10;6,44396520025718E-08;-0,498684159772951;3,58260893671446E-06;0,000519674612923966;0
;102;104;5,28871262;-6,19999918853864E-05;-6,17901387158781E-05;0,671773910522461;4,61407410057291E-10;6,44224888269996E-08;-0,49830757028934;3,72102750046202E-06;0,000519536200217739;0
;103;105;5,28971262;-6,19999918853864E-05;-6,17975165368989E-05;0,666144371032715;4,78573364641003E-10;6,44053256514275E-08;-0,498367068845959;3,85946261807261E-06;0,000519397787511512;0
;104;106;5,29071262;-6,19999918853864E-05;-6,18267658865079E-05;0,660555362701416;4,95747435201742E-10;6,4388154391458E-08;-0,498602950697645;3,99796318711082E-06;0,000519259309608533;0
;105;107;5,29171262;-6,19999918853864E-05;-6,1783823184669E-05;0,655288219451904;5,12909600224197E-10;6,43709952580846E-08;-0,49825663858604;4,13636774374353E-06;0,000519120929500682;0
;106;108;5,29271262;-6,19999918853864E-05;-6,18668273091316E-05;0,649932384490967;5,30094818410968E-10;6,43538118715191E-08;-0,498926026686545;4,27495821299168E-06;0,000518982353802573;0
;107;109;5,29471262;-6,19999918853864E-05;-6,18374033365399E-05;0,639957904815674;5,64444222719531E-10;6,43194653093815E-08;-0,498688736584999;4,55196953806074E-06;0,000518705365398238;0
;108;110;5,29671262;-6,19999918853864E-05;-6,18307676631957E-05;0,630488872528076;5,98788890076523E-10;6,42851268316412E-08;-0,498635223090288;4,82894266190744E-06;0,000518428442190655;0
;109;111;5,29871262;-6,19999918853864E-05;-6,1836835811846E-05;0,621510028839111;6,33134883779955E-10;6,42507843117023E-08;-0,498684159772951;5,10592648209641E-06;0,000518151486384696;0
;110;112;5,30071262;-6,19999918853864E-05;-6,18444755673409E-05;0,612886905670166;6,67481382758221E-10;6,42164417917633E-08;-0,498745770704362;5,38291437708243E-06;0,000517874530578737;0
;111;113;5,30271262;-6,19999918853864E-05;-6,18471822235733E-05;0,604733467102051;7,0183779775511E-10;6,41820871452283E-08;-0,498767598577204;5,65998223996057E-06;0,000517597476977648;0
;112;114;5,30471262;-6,19999918853864E-05;-6,18218764429912E-05;0,596999168395996;7,36190738987514E-10;6,41477365408921E-08;-0,498563519701542;5,93702208860898E-06;0,000517320455974936;0
;113;115;5,30671262;-6,19999918853864E-05;-6,17983314441517E-05;0,589495658874512;7,70542732829603E-10;6,41133899787544E-08;-0,498373640678643;6,21405429701293E-06;0,0005170434675706;0
;114;116;5,30871262;-6,19999918853864E-05;-6,18053309153765E-05;0,582294464111328;8,04887652824012E-10;6,40790474588155E-08;-0,49843008802723;6,49102945825816E-06;0,000516766511764641;0
;115;117;5,31071262;-6,19999918853864E-05;-6,18138292338699E-05;0,57534646987915;8,39233962324215E-10;6,40447049388765E-08;-0,49849862285379;6,76801582519528E-06;0,000516489555958682;0
;116;118;5,31271262;-6,19999918853864E-05;-6,18172052782029E-05;0,568698883056641;8,7358368242955E-10;6,40103583767389E-08;-0,498525849017765;7,0450296970125E-06;0,000516212567554346;0
;117;119;5,31471262;-6,19999918853864E-05;-6,18464691797271E-05;0,562231063842773;9,07944644899948E-10;6,39759996880053E-08;-0,498761848223606;7,3221342330641E-06;0,000515935481354881;0
;118;120;5,31671262;-6,19999918853864E-05;-6,1810074839741E-05;0,556196689605713;9,42289880691129E-10;6,39416571680663E-08;-0,498468345481782;7,59911194105749E-06;0,000515658525548922;0
;119;121;5,31871262;-6,19999918853864E-05;-6,18290796410292E-05;0,550315856933594;9,7664616936931E-10;6,390730656373E-08;-0,4986216100083;7,87617878523637E-06;0,00051538150454621;0
;120;122;5,32071262;-6,19999918853864E-05;-6,18510966887698E-05;0,544593334197998;1,01100643708681E-09;6,38729478749964E-08;-0,498799166844917;8,15327771844202E-06;0,000515104418346745;0
;121;123;5,32271262;-6,19999918853864E-05;-6,18135672993958E-05;0,539212226867676;1,04535160971864E-09;6,38386093972561E-08;-0,498496510478998;8,43025491708578E-06;0,000514827495139162;0
;122;124;5,32471262;-6,19999918853864E-05;-6,17984333075583E-05;0,533916473388672;1,07969665603175E-09;6,38042709195159E-08;-0,498374462157728;8,70723109703027E-06;0,000514550571931579;0
;123;125;5,32671262;-6,19999918853864E-05;-6,18189078522846E-05;0,528740882873535;1,11406443971242E-09;6,37699041463849E-08;-0,498539579453908;8,98439064284206E-06;0,000514273420535362;0
;124;126;5,32871262;-6,19999918853864E-05;-6,18430640315637E-05;0,523717403411865;1,14841832833513E-09;6,37355535420486E-08;-0,49873438735132;9,26143813173495E-06;0,00051399639953265;0
;125;127;5,33171262;-6,19999918853864E-05;-6,18016492808238E-05;0,516658782958984;1,19994524538924E-09;6,36840357199415E-08;-0,498400397425998;9,67697778539713E-06;0,000513580933225334;0
;126;128;5,33471262;-6,19999918853864E-05;-6,18905323790386E-05;0,509808540344238;1,25149704722895E-09;6,3632485560245E-08;-0,49911719660515;1,00927181228141E-05;0,000513165206131008;0
;127;129;5,33771262;-6,19999918853864E-05;-6,1844548326917E-05;0,503449440002441;1,30304051203388E-09;6,35809475271445E-08;-0,498746357475137;1,05083912260797E-05;0,000512749576831811;0
;128;130;5,34071262;-6,19999918853864E-05;-6,18404592387378E-05;0,497260570526123;1,35457677667243E-09;6,35294175784414E-08;-0,498713380957563;1,09240062634873E-05;0,000512334012729366;0
;129;131;5,34371262;-6,19999918853864E-05;-6,18380145169795E-05;0,491328239440918;1,40611594664127E-09;6,34778876297383E-08;-0,498693665459512;1,1339644730978E-05;0,000511918448626922;0
;130;132;5,34671262;-6,19999918853864E-05;-6,18418562225997E-05;0,48568058013916;1,45765865353395E-09;6,34263495966378E-08;-0,49872464695645;1,1755311722048E-05;0,000511502819327724;0
;131;133;5,34971262;-6,19999918853864E-05;-6,18926424067467E-05;0,480189800262451;1,50922447675031E-09;6,3374791352544E-08;-0,499134212957635;1,21711651350831E-05;0,000511087027036645;0
;132;134;5,35271262;-6,19999918853864E-05;-6,18512567598373E-05;0,475131511688232;1,56076958369845E-09;6,33232533194435E-08;-0,498800457740623;1,25868514814391E-05;0,000510671397737448;0
;133;135;5,35671262;-6,19999918853864E-05;-6,1879341956228E-05;0,46855640411377;1,62950287732302E-09;6,32545278575789E-08;-0,499026951259903;1,3141152236476E-05;0,000510117160141765;0
;134;136;5,36071262;-6,19999918853864E-05;-6,1891318182461E-05;0,462214946746826;1,69826674007507E-09;6,31857700581248E-08;-0,499123533729524;1,36956995167344E-05;0,000509562661759071;0
;135;137;5,36471262;-6,19999918853864E-05;-6,18131598457694E-05;0,45641040802002;1,76699283353325E-09;6,31170526806576E-08;-0,498493224562656;1,42499422059133E-05;0,000509008489360142;0
;136;138;5,36871262;-6,19999918853864E-05;-6,18963094893843E-05;0,450635433197021;1,83574835925053E-09;6,30483029656009E-08;-0,499163786204712;1,48044222520204E-05;0,000508454056174201;0
;137;139;5,37271262;-6,19999918853864E-05;-6,19169441051781E-05;0,445220470428467;1,90451967480638E-09;6,29795411239482E-08;-0,499330194396598;1,53590296355353E-05;0,00050789952519313;0
